Open,High,Low,Volume,Chg%
27945,27968,27851,7670,-0.08
28474,28559,28395,5540,-0.21
47280,47280,46939,18480,-0.11
26145,26746,26145,21390,2.45
53467,55428,53340,51930,1.28
47951,48046,47825,7080,0.19
29481,29679,29355,15200,-0.06
30501,30648,30401,11820,-0.06
126100,126100,119753,69875,-4.94
77702,78104,77411,4700,0.18
31895,31960,31768,13200,0.07
36412,36775,36240,290,2.82
128999,130155,128999,55815,0.5
48300,48638,48300,15390,0.12
55655,55677,55050,7900,-1.21
68028,68210,66960,14710,-2.23
28503,28626,28450,7430,-0.03
45257,45730,45250,17870,1.56
29933,30085,29765,25800,-0.1
51880,52199,51620,35290,0.11
100602,100800,100155,36400,-0.08
32057,32367,32019,13030,1.01
50123,50202,50003,50,0.0
28517,28579,28302,15110,-0.43
26150,26244,25815,15530,-1.46
31710,31791,31570,8540,0.0
56720,57300,56720,9880,1.21
38388,38388,38070,7520,-0.46
29030,29166,28880,11100,0.38
27199,27720,27199,10790,0.7
28071,28079,27600,540,-1.37
31171,31171,30941,10730,-0.57
31685,32016,31639,14630,0.81
33777,33777,33210,3840,-1.76
49890,49922,49330,31360,-0.84
32148,32299,32103,11360,0.32
45790,46377,45507,310,1.47
29450,29456,29359,5800,-0.27
47200,47553,47200,200,0.64
49128,49599,49066,31550,1.0
40802,41291,38419,106920,-2.07
46984,47128,46770,14580,-0.11
29410,29499,29392,9440,0.1
30350,30470,30221,13380,-0.05
47220,47260,46800,190,0.02
71750,71909,71394,10600,0.14
37770,38070,37711,4270,0.48
29910,29980,29766,12860,-0.39
31031,31031,30863,11130,0.71
28462,28893,28391,14910,1.17
29502,29850,29402,11760,1.04
48130,48173,47830,11300,-0.41
85850,86110,85352,23266,-0.51
126573,129629,125524,93876,2.81
54527,54849,54501,5820,0.26
24682,24872,24615,19130,0.42
26569,26569,26300,8700,-0.61
71358,71575,71267,180,0.04
27050,27050,26770,16680,-0.74
29170,29330,29133,13780,0.49
96408,96827,95856,33278,0.06
62124,62294,61950,11110,0.11
59074,59249,59037,20,0.08
49332,49598,49182,9160,0.43
27096,27240,26860,18570,0.33
25791,26519,25585,33820,2.44
52768,53593,52723,280,1.73
62211,62489,62152,9520,0.11
31869,32184,31748,19210,0.98
31340,31545,31340,8840,0.47
96081,96733,95831,36158,0.35
30580,31080,30510,1380,1.76
24837,24870,24714,14790,-0.57
24786,24919,24716,18270,0.22
29439,29485,29310,9820,-0.36
40250,41049,40250,33170,1.31
30890,31168,30889,190,1.34
28121,28290,28057,14010,0.19
56299,56470,56187,7670,0.4
28050,28173,28050,7520,0.45
29700,29898,29355,19550,-0.08
29540,29718,29540,6170,0.54
30301,30515,30166,23170,0.31
26075,26110,25831,19910,-0.43
59900,60025,59410,14680,-0.65
29289,29390,29155,10600,-0.39
24670,24704,24540,290,-0.23
28770,28770,28650,8690,-0.31
26612,26612,26410,12460,-0.86
50199,50716,49465,39390,0.09
59773,59998,59701,8000,0.16
31495,31659,31495,12070,0.76
61595,61636,60957,13740,-0.99
49097,49614,48836,36370,1.05
28310,28450,28300,820,1.36
119869,121669,119300,102118,0.72
52125,52125,51380,13730,-1.51
32274,32274,31813,17210,-1.22
34550,34759,34475,23910,0.48
75656,76091,75434,12130,-0.04
48730,48788,48435,17840,-0.34
29132,29415,29054,17640,0.74
24823,24886,24666,2830,-0.38
28080,28150,27903,9480,0.59
27118,27258,27020,22930,0.14
38520,38800,38400,2320,1.07
29425,29425,29200,10300,-0.69
31500,31500,30450,60,-1.23
26860,26860,26572,15980,-0.92
28015,28114,27813,18520,-0.61
51115,52079,51035,380,2.11
30613,30819,30585,8760,0.4
29044,29590,29044,37830,1.34
50546,50825,50281,11950,-0.28
31499,31607,31318,170,-0.27
49321,49321,48807,29610,-0.24
51334,51549,51202,150,0.21
62835,63317,62828,8280,0.91
29700,29900,29634,10710,0.24
29640,29640,29405,8460,-0.16
52615,52850,52501,15080,-0.11
26530,26730,26520,11630,0.64
40000,40150,39660,24670,-0.09
26400,26499,26240,15300,-0.37
58899,59089,58665,8700,0.02
30551,30566,30427,4660,-0.33
122956,123258,120672,63689,-0.61
37975,38150,37905,20370,-0.12
57979,58205,57830,70,0.17
37604,37728,37550,12400,-0.09
48509,48509,47501,450,0.26
52401,52515,52066,8750,-0.57
30300,30339,30132,14900,-0.31
29717,29770,29638,5430,-0.37
48600,48840,48495,19380,0.06
29665,29740,29575,4990,0.0
50174,50220,50075,11570,-0.26
71002,71656,70910,18150,0.64
73911,74285,73623,13670,-0.42
136143,137037,135525,51877,0.02
30085,30172,29976,5480,0.04
42400,43900,42000,34450,2.15
48900,49217,48731,38450,-0.03
29039,29295,29009,7820,0.66
25803,26627,25123,5730,2.68
49137,49321,48936,24630,0.03
94809,96262,94300,27164,1.14
29278,29278,28884,26950,-1.23
35100,35189,35035,16100,0.31
62518,62555,62218,60,0.24
62609,62750,62365,360,0.27
49940,50139,49778,390,0.4
52030,52030,51030,40,0.41
46290,46333,45750,25390,-0.36
69200,69578,68533,15710,0.15
29475,29510,29393,5780,-0.28
47640,47650,47411,8780,-0.03
25578,26340,25201,980,-1.79
33300,33466,33138,9400,-0.17
71921,72147,71601,18960,0.08
55952,56077,55721,8180,0.29
50637,51058,50527,29170,-0.38
71559,71987,71300,10770,0.05
31090,31090,30892,6380,-0.58
47499,47700,47268,11910,0.02
30830,30939,30753,8710,-0.02
27730,27730,27021,18560,-2.22
29109,29249,28885,33260,-0.53
27126,27220,27072,6300,0.13
72880,72880,71240,270,0.16
47050,47575,46501,140,-2.11
